
*********************************************************************

   Se leyeron los datos del archivo: ENTRADA.TXT
   Se graba la salida en el archivo: SALIDA.TXT

*********************************************************************

*****************************************************
*CASODEPRUEBAPARAELCAREMCONXENONYQUEMADO*
*****************************************************

Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
  1  4.4450E+00    5.1024E-01      0.662147    4.44502      1.000
  2  2.0366E+00    8.8401E-02      0.726358    0.45817      1.000
  3  9.7767E-01    2.1414E-01      0.924279    0.48006      1.000
  4  5.7732E+00    1.4130E-01      0.809845    5.90507      1.000
  5  2.3909E+00    4.6900E-02      0.849696    0.41413      1.000
  6  9.9822E-01    4.4332E-02      0.889112    0.41751      1.000
  7  9.5788E+00    1.2479E-01      0.790469    9.59581      1.000
  8  9.3813E-01    8.4137E-02      0.863086    0.09794      1.000
  9  6.8396E-01    3.0371E-02      0.837646    0.72906      1.000
 10  7.6855E-01    1.0784E-02      0.846778    1.12368      1.000
 11  4.2727E-01    1.0870E-02      0.837672    0.55594      1.000
 12  2.1635E-01    2.7668E-02      0.861509    0.50636      1.000
 13  7.7214E-01    3.3611E-02      0.833494    3.56888      1.000
 14  1.4717E+00    2.1782E-02      0.852053    1.90596      1.000
 15  2.4808E-01    7.8968E-03      0.845378    0.16857      1.000
 16  1.8267E-01    5.4040E-05      0.845423    0.73633      1.000
 17  1.4961E-01    1.2314E-03      0.844383    0.81899      1.000
 18  9.4914E-02    7.2599E-03      0.850558    0.63443      1.000
 19  8.6703E-02    1.0043E-02      0.842101    0.91349      1.000
 20  1.4023E-01    7.8108E-03      0.848730    1.61738      1.000
 21  9.0786E-02    3.5822E-03      0.845701    0.64740      1.000
 22  5.8454E-02    1.0655E-03      0.846603    0.64386      1.000
 23  5.2239E-02    1.6480E-03      0.845210    0.89369      1.000
 24  5.2407E-02    3.5508E-03      0.848222    1.00321      1.000
 25  6.4045E-02    3.8877E-03      0.844937    1.22207      1.000
 26  3.2470E-02    2.9673E-03      0.847452    0.50699      1.000
 27  3.3403E-02    1.0474E-03      0.846565    1.02874      1.000
 28  2.6569E-02    4.8337E-05      0.846606    0.79541      1.000
 29  2.4001E-02    4.2096E-04      0.846250    0.90334      1.000
 30  1.3213E-01    1.3137E-03      0.847363    5.50522      1.000
 31  2.1130E-02    1.8970E-03      0.845758    0.15991      1.000
 32  1.7897E-02    1.4114E-03      0.846954    0.84700      1.000
 33  1.9992E-02    4.4495E-04      0.846577    1.11706      1.000
 34  1.5533E-02    2.4979E-04      0.846366    0.77699      1.000
 35  1.3466E-02    2.8902E-06      0.846368    0.86689      1.000
 36  1.3726E-02    4.1864E-04      0.846723    1.01935      1.000
 37  1.2063E-02    8.5016E-04      0.846003    0.87884      1.000
 38  1.0651E-02    6.0056E-04      0.846512    0.88290      1.000
 39  1.0845E-02    2.5382E-04      0.846297    1.01828      1.000
 40  9.3302E-03    1.6305E-04      0.846159    0.86029      1.000
 41  8.1444E-03    5.8707E-05      0.846209    0.87291      1.000
 42  8.0109E-03    1.1528E-04      0.846306    0.98360      1.000
 43  7.1165E-03    3.9182E-04      0.845975    0.88835      1.000
 44  6.4298E-03    2.7753E-04      0.846210    0.90351      1.000
 45  6.3441E-03    1.3966E-04      0.846091    0.98667      1.000
 46  5.7226E-03    1.0187E-04      0.846005    0.90203      1.000
 47  5.0429E-03    5.1026E-05      0.846048    0.88123      1.000
 48  4.8482E-03    1.3451E-05      0.846060    0.96139      1.000
 49  4.4536E-03    1.8125E-04      0.845907    0.91862      1.000
 50  4.0138E-03    1.2946E-04      0.846016    0.90123      1.000
 51  3.8163E-03    7.7732E-05      0.845950    0.95080      1.000
 52  3.5725E-03    6.5861E-05      0.845895    0.93612      1.000
 53  3.1754E-03    4.2596E-05      0.845931    0.88885      1.000
 54  2.9673E-03    2.0714E-05      0.845913    0.93446      1.000
 55  2.8033E-03    8.2479E-05      0.845843    0.94472      1.000
 56  2.4779E-03    6.2469E-05      0.845896    0.88392      1.000
 57  2.3299E-03    4.7925E-05      0.845856    0.94028      1.000
 58  2.1930E-03    3.4816E-05      0.845826    0.94126      1.000
 59  1.9938E-03    2.6125E-05      0.845848    0.90915      1.000
 60  1.8278E-03    2.4744E-05      0.845827    0.91674      1.000
 61  1.7377E-03    3.4100E-05      0.845799    0.95072      1.000
 62  1.5596E-03    2.6749E-05      0.845821    0.89751      1.000
 63  1.4285E-03    2.8304E-05      0.845797    0.91590      1.000
 64  1.3444E-03    1.6393E-05      0.845783    0.94115      1.000
 65  1.2551E-03    1.2393E-05      0.845794    0.93357      1.000
 66  1.1448E-03    1.7657E-05      0.845779    0.91213      1.000
 67  1.0796E-03    1.3605E-05      0.845767    0.94305      1.000
 68  1.0035E-03    9.2255E-06      0.845775    0.92946      1.000
 69  9.0693E-04    1.4310E-05      0.845763    0.90381      1.000
 70  8.5221E-04    8.5574E-06      0.845756    0.93966      1.000
 71  7.9905E-04    4.6915E-06      0.845760    0.93763      1.000
 72  7.3353E-04    9.5766E-06      0.845752    0.91799      1.000
 73  6.9003E-04    6.6090E-06      0.845746    0.94070      1.000
 74  6.5331E-04    2.4246E-06      0.845748    0.94679      1.000
 75  5.9901E-04    5.9711E-06      0.845743    0.91689      1.000
 76  5.5943E-04    6.1297E-06      0.845738    0.93393      1.000
 77  5.3292E-04    2.2990E-06      0.845740    0.95260      1.000
 78  4.9263E-04    4.7786E-06      0.845736    0.92441      1.000
 79  4.6667E-04    4.4309E-06      0.845732    0.94729      1.000
 80  4.4406E-04    1.0339E-06      0.845733    0.95155      1.000
 81  4.1301E-04    2.5368E-06      0.845731    0.93008      1.000
 82  3.9149E-04    4.7943E-06      0.845727    0.94790      1.000
 83  3.7412E-04    2.0968E-06      0.845729    0.95564      1.000
 84  3.5097E-04    2.9910E-06      0.845726    0.93812      1.000
 85  3.3232E-04    2.9880E-06      0.845723    0.94685      1.000
 86  3.1471E-04    1.0723E-06      0.845724    0.94701      1.000
 87  2.9665E-04    1.6900E-06      0.845723    0.94261      1.000
 88  2.8258E-04    3.2031E-06      0.845720    0.95259      1.000
 89  2.6544E-04    1.9994E-06      0.845722    0.93934      1.000
 90  2.4999E-04    2.5468E-06      0.845720    0.94181      1.000
 91  2.3817E-04    1.4507E-06      0.845719    0.95271      1.000
 92  2.2136E-04    8.8547E-07      0.845719    0.92940      1.000
 93  2.0506E-04    1.5623E-06      0.845718    0.92639      1.000
 94  1.9712E-04    1.5720E-06      0.845717    0.96128      1.000
 95  1.8455E-04    1.4340E-06      0.845718    0.93619      1.000
